Identifiant arc,Date debut dispo data,Date fin dispo data,Libelle,Identifiant noeud aval,Libelle noeud aval,Identifiant noeud amont,Libelle noeud amont,geo_point_2d long,geo_point_2d lat,geo_shape
5429,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PI_Armenonville,2855,SI_RN13,2800,AI_Dauphine,48.87454468837458,2.27614735917144,"{""coordinates"": [[2.275451973946661, 48.87376388616164], [2.276486832462637, 48.87495322392716], [2.276893685357866, 48.87527184653497]], ""type"": ""LineString""}"
5411,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PI_Batignolles,2081,SI_St_Ouen,2028,AI_Clichy,48.89921516850691,2.3182676141997294,"{""coordinates"": [[2.3128621845970763, 48.89752238823896], [2.314147865557083, 48.897985642019826], [2.316453996017416, 48.898719425202216], [2.319461778801746, 48.89963072078335], [2.321772420013156, 48.90031744485269], [2.322817152181802, 48.900431985161546], [2.32376558101689, 48.90044912504589]], ""type"": ""LineString""}"
6100,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bercy_bretelle_7,2882,Bercy_bretelles_7-10-15,2880,Bercy_bretelle_7-Bretelle_8,48.82762752646671,2.388934953948135,"{""coordinates"": [[2.387896448429662, 48.828407539608214], [2.388450170650811, 48.82794718742194], [2.389175580762598, 48.82746036867581], [2.38999553569207, 48.8268759422032]], ""type"": ""LineString""}"
5483,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,AI_A3_bretelle_2,3541,A3_bretelle_2,2878,Bagnolet_bretelles_2-5,48.865271491622266,2.418101441223295,"{""coordinates"": [[2.417656989162125, 48.865252940260206], [2.418545893284464, 48.86529004298432]], ""type"": ""LineString""}"
1144,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SE_Brancion,634,Pte_Brancion-Acces_PE,635,SE_Brancion,48.82584656293209,2.2987187870387804,"{""coordinates"": [[2.297295271362406, 48.826274612029245], [2.29756222516502, 48.82612395113343], [2.3001700073134, 48.825488610087916]], ""type"": ""LineString""}"
6089,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SI_A6A,3154,Gentilly_bretelles_1_11_16,3081,SI_A6A,48.816700703773314,2.3414629221995327,"{""coordinates"": [[2.341837256892976, 48.81662423127454], [2.341088587506089, 48.81677717627209]], ""type"": ""LineString""}"
5931,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SI_A6B_bretelle_1,3080,A6B_Y,2801,SI_A6B,48.81634359886137,2.3596847706524584,"{""coordinates"": [[2.363546934559815, 48.816280749039606], [2.362579911830067, 48.81623581790616], [2.360684816023879, 48.81636849483071], [2.357979538489444, 48.81657430295369], [2.357256493843967, 48.816493080367714], [2.35665288750966, 48.81624192810214], [2.356396019731591, 48.8160116706205], [2.356186858094889, 48.81557752730725]], ""type"": ""LineString""}"
6563,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Daumesnil,3401,Daumesnil-Robert_Andre_Vivien,541,Guyane-Ste_Marie-PE,48.833940933889956,2.4109381065689197,"{""coordinates"": [[2.410458820791761, 48.83406366600197], [2.411417392346079, 48.833818201777945]], ""type"": ""LineString""}"
1505,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bd_Serurier,800,Pte_Pantin-Av_Jean_Jaures,801,Bd_Serurier-Zenith,48.89014229961553,2.3953584692986363,"{""coordinates"": [[2.395292126473299, 48.89041717000953], [2.395424812123974, 48.88986742922154]], ""type"": ""LineString""}"
4227,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SI_Asnieres,2260,Pte_Asnieres-Peripherique,2270,SI_Asnieres,48.89114244096568,2.3003096691924734,"{""coordinates"": [[2.299148328061188, 48.89052498878639], [2.301471010323759, 48.89175989314497]], ""type"": ""LineString""}"
5891,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Place_de_la_Pte_d'Auteuil,2435,Pl_Pte_d'Auteuil,3062,Pl_Pte_d'Auteuil-General_Sarrail,48.84787000728711,2.2578780221752677,"{""coordinates"": [[2.257166599406568, 48.84788121144715], [2.257841935722319, 48.84786585038583], [2.258589535504569, 48.84786779649711]], ""type"": ""LineString""}"
1229,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Sout_Citroen,660,Sout_Citroen_1,661,Sout_Citroen_2,48.842658199040386,2.273941192880944,"{""coordinates"": [[2.274657803318369, 48.84349080536687], [2.273224582443518, 48.8418255927139]], ""type"": ""LineString""}"
1226,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Sout_Citroen,660,Sout_Citroen_1,561,Quai_Andre_Citroen-Leblanc,48.84096500557611,2.272693366586984,"{""coordinates"": [[2.271976086818273, 48.840176980426904], [2.272075143559289, 48.840273420367396], [2.272245846728904, 48.84046124063148], [2.273402496306451, 48.841760740598765]], ""type"": ""LineString""}"
5507,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SI_Chapelle_bretelle_4,2873,Chapelle_bretelle_4-Bretelle_9,957,SI_Chapelle,48.90071323506808,2.3573710076366163,"{""coordinates"": [[2.356799356707505, 48.90088809176468], [2.357384975425906, 48.90070676790777], [2.357943902842682, 48.90054250198584]], ""type"": ""LineString""}"
1796,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Chapelle_bretelle_7,3487,Av_Pte_Chapelle-Sortie_A1-BPI,2893,Chapelle_bretelle_1-Bretelle_7,48.89979803668665,2.3589935798371924,"{""coordinates"": [[2.358840099536393, 48.90062481493577], [2.358881547847802, 48.900274205136235], [2.359003278484106, 48.89993626459586], [2.35907464186094, 48.899667400516954], [2.359097122590248, 48.89934932500633], [2.359008989790622, 48.898969467978645]], ""type"": ""LineString""}"
940,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Ech_Vincennes_2,536,Pte_Vincennes-Acces_PE,537,Pte_Vincennes-Sortie_PE,48.84694467511757,2.415086981757232,"{""coordinates"": [[2.415192951135566, 48.84686564089605], [2.414981012378898, 48.8470237093391]], ""type"": ""LineString""}"
6022,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Tronchet,3118,Tronchet-Mathurin,161,Tronchet-Castellane,48.872579232197694,2.3264112154078624,"{""coordinates"": [[2.3260124801965523, 48.87202539579372], [2.326809950619172, 48.87313306860167]], ""type"": ""LineString""}"
548,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bd_St_Martin,315,Pte_St_Martin,334,Bd_St_Martin_(Theatre),48.868901277482465,2.3565693685712663,"{""coordinates"": [[2.357534604495262, 48.86875128959011], [2.35560413264727, 48.86905126537483]], ""type"": ""LineString""}"
6445,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_Flandre,3325,Flandre-Passage_de_Flandre,3333,Flandre-Riquet,48.88797764606228,2.3732868295571046,"{""coordinates"": [[2.37394488436616, 48.888509231678206], [2.372628774748049, 48.88744606044635]], ""type"": ""LineString""}"
4926,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Cours_de_Vincennes,517,Cours_de_Vincennes-Pyrenees,2610,Cours_de_Vincennes-Face_45,48.84752164340946,2.4048068996373906,"{""coordinates"": [[2.403411394575195, 48.84764198202696], [2.4062024046995862, 48.847401304791944]], ""type"": ""LineString""}"
4922,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Cours_de_Vincennes,2608,Cours_de_Vincennes-Face_35,2607,Cours_de_Vincennes-Face_N?,48.84782388378962,2.401301440355617,"{""coordinates"": [[2.400593473232777, 48.84788491464333], [2.402009407478457, 48.847762852935915]], ""type"": ""LineString""}"
